A07,Roland Norton Memorial Airstrip,"Selawik, AK",Alaska,"Selawik, AK",66,N,45,57,66.76583333,160,W,9,9,-160.15250000,12/1/2002 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
A08,Pillar Bay Airport,"Pillar Bay, AK",Alaska,"Pillar Bay, AK",56,N,35,53,56.59805556,134,W,14,34,-134.24277778,1/1/1950 12:00:00 AM,,0,1
A09,Johnstone Point Airport,"Johnstone Point, AK",Alaska,"Johnstone Point, AK",60,N,28,54,60.48166667,146,W,35,3,-146.58416667,12/1/2013 12:00:00 AM,10/31/2017 12:00:00 AM,0,0
A09,Johnstone Point Airport,"Johnstone Point, AK",Alaska,"Johnstone Point, AK",60,N,28,54,60.48166667,146,W,35,3,-146.58416667,12/1/2017 12:00:00 AM,,0,1
A09,Johnstone Point Airport,"Johnstone Point, AK",Alaska,"Johnstone Point, AK",60,N,28,56,60.48222222,146,W,34,56,-146.58222222,1/1/2003 12:00:00 AM,11/30/2013 12:00:00 AM,0,0
A09,Johnstone Point Airport,"Johnstone Point, AK",Alaska,"Johnstone Point, AK",60,N,28,56,60.48222222,146,W,34,56,-146.58222222,11/1/2017 12:00:00 AM,11/30/2017 12:00:00 AM,0,0
A11,Bell Creek Airport,"Bell Creek, AK",Alaska,"Bell Creek, AK",60,N,47,2,60.78388889,159,W,32,25,-159.54027778,12/1/2002 12:00:00 AM,,0,1
A12,Cinnabar Airport,"Cinnabar, AK",Alaska,"Cinnabar, AK",60,N,47,7,60.78527778,158,W,51,52,-158.86444444,12/1/2002 12:00:00 AM,,0,1
A13,Mountaintop Mine Airport,"Mountaintop Mine, AK",Alaska,"Mountaintop Mine, AK",61,N,23,25,61.39027778,157,W,59,44,-157.99555556,12/1/2002 12:00:00 AM,,0,1
A14,Whitebear Airport,"Whitebear, AK",Alaska,"Whitebear, AK",61,N,11,20,61.18888889,159,W,51,30,-159.85833333,12/1/2002 12:00:00 AM,,0,1
A15,Puviaq Airport,"Puviaq, AK",Alaska,"Puviaq, AK",70,N,42,56,70.71555556,154,W,24,25,-154.40694444,7/1/2011 12:00:00 AM,2/28/2013 12:00:00 AM,1,1
A15,Puviaq Airport,"Puviaq, AK",Alaska,"Puviaq, AK",70,N,43,7,70.71861111,154,W,23,18,-154.38833333,2/1/2003 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
A16,Arley Lake Airport,"Arley Lake, AK",Alaska,"Arley Lake, AK",70,N,44,49,70.74694444,155,W,21,39,-155.36083333,3/1/2003 12:00:00 AM,,0,1
A17,Port Vita Airport,"Port Vita, AK",Alaska,"Port Vita, AK",58,N,3,56,58.06555556,153,W,4,21,-153.07250000,9/1/2002 12:00:00 AM,,0,1
A18,Kantishna Airport,"Kantishna, AK",Alaska,"Kantishna, AK",63,N,32,28,63.54111111,150,W,59,42,-150.99500000,12/1/2015 12:00:00 AM,10/31/2017 12:00:00 AM,0,0
A18,Kantishna Airport,"Kantishna, AK",Alaska,"Kantishna, AK",63,N,32,28,63.54111111,150,W,59,42,-150.99500000,12/1/2017 12:00:00 AM,,0,1
A18,Kantishna Airport,"Kantishna, AK",Alaska,"Kantishna, AK",63,N,32,30,63.54166667,150,W,59,38,-150.99388889,1/1/1950 12:00:00 AM,11/30/2015 12:00:00 AM,0,0
A18,Kantishna Airport,"Kantishna, AK",Alaska,"Kantishna, AK",63,N,32,30,63.54166667,150,W,59,38,-150.99388889,11/1/2017 12:00:00 AM,11/30/2017 12:00:00 AM,0,0
A1K,Point Thomson Airstrip,"Deadhorse1, AK",Alaska,"Deadhorse1, AK",70,N,8,10,70.13611111,146,W,17,24,-146.29000000,1/1/2015 12:00:00 AM,4/30/2021 12:00:00 AM,0,0
A1K,Point Thomson Airstrip,"Deadhorse1, AK",Alaska,"Deadhorse1, AK",70,N,8,10,70.13611111,146,W,17,24,-146.29000000,5/1/2021 12:00:00 AM,,0,1
A1L,Cullman Regional Folsom Field,"Cullman, AL",Alabama,"Cullman, AL",34,N,16,7,34.26861111,86,W,51,29,-86.85805556,4/1/2018 12:00:00 AM,,0,1
A20,Alpine Airstrip,"Alpine, AK",Alaska,"Alpine, AK",70,N,20,39,70.34416667,150,W,56,41,-150.94472222,8/1/2002 12:00:00 AM,,0,1
A21,Serpentine Airport,"Serpentine, AK",Alaska,"Serpentine, AK",65,N,51,5,65.85138889,164,W,42,10,-164.70277778,5/1/2003 12:00:00 AM,,0,1
A22,Driftwood Bay Airport,"Driftwood Bay, AK",Alaska,"Driftwood Bay, AK",53,N,58,22,53.97277778,166,W,51,25,-166.85694444,1/1/2003 12:00:00 AM,,0,1
A23,Bradley Lake Airport,"Bradley Lake, AK",Alaska,"Bradley Lake, AK",59,N,46,34,59.77611111,151,W,57,49,-151.96361111,1/1/2003 12:00:00 AM,,0,1
A24,Chilkat Lake Airport,"Chilkat Lake, AK",Alaska,"Chilkat Lake, AK",59,N,19,54,59.33166667,135,W,53,48,-135.89666667,8/1/2002 12:00:00 AM,,0,1
A25,Nugget Creek Airport,"Nugget Creek, AK",Alaska,"Nugget Creek, AK",59,N,17,18,59.28833333,136,W,10,26,-136.17388889,8/1/2002 12:00:00 AM,,0,1
A26,Ivotuk Airstrip,"Ivotuk, AK",Alaska,"Ivotuk, AK",68,N,29,0,68.48333333,155,W,44,0,-155.73333333,5/1/2003 12:00:00 AM,,0,1
A27,Pogo Mines Airport,"Pogo Mines, AK",Alaska,"Pogo Mines, AK",64,N,26,24,64.44000000,144,W,56,11,-144.93638889,10/1/2003 12:00:00 AM,,0,1
A28,Ayakulik River Airport,"Ayakulik River, AK",Alaska,"Ayakulik River, AK",57,N,15,14,57.25388889,154,W,25,20,-154.42222222,1/1/2001 12:00:00 AM,,0,1
A29,Kiluda Bay Airport,"Kiluda Bay, AK",Alaska,"Kiluda Bay, AK",57,N,19,23,57.32305556,153,W,8,58,-153.14944444,1/1/2001 12:00:00 AM,,0,1
A2K,Bartletts Airport,"Bartletts, AK",Alaska,"Bartletts, AK",58,N,13,59,58.23305556,157,W,21,59,-157.36638889,4/1/2015 12:00:00 AM,11/30/2016 12:00:00 AM,1,1
A2L,Isbell Field,"Fort Payne, AL",Alabama,"Fort Payne, AL",34,N,28,25,34.47361111,85,W,43,17,-85.72138889,4/1/2018 12:00:00 AM,,0,1
A30,Terror Lake Airport,"Terror Lake, AK",Alaska,"Terror Lake, AK",57,N,57,50,57.96388889,153,W,3,30,-153.05833333,1/1/2001 12:00:00 AM,,0,1
A31,Selief Bay Airport,"Selief Bay, AK",Alaska,"Selief Bay, AK",58,N,58,58,58.98277778,153,W,11,0,-153.18333333,1/1/2001 12:00:00 AM,,0,1
A34,Laura Lake Airport,"Laura Lake, AK",Alaska,"Laura Lake, AK",58,N,21,43,58.36194444,152,W,18,44,-152.31222222,7/1/2002 12:00:00 AM,,0,1
A35,Bullen Point AFS,"Kaktovik, AK",Alaska,"Kaktovik, AK",70,N,10,22,70.17277778,146,W,50,10,-146.83611111,7/1/2002 12:00:00 AM,,0,1
